state,cum_death,population,death_rate
AK,203,733098.6470588235,27.69067993979143
AL,3187,5063895.352941177,62.93573973934806
AR,2195,3040370.7647058824,72.19514229911162
AZ,6223,7339399.294117647,84.78895548015197
CA,15757,39098621.88235294,40.3006531724124
CO,3149,5832518.411764706,53.99039964705792
CT,1886,3607791.588235294,52.275746918144826
DC,322,670684.5882352941,48.01064548795533
DE,709,1014731.0588235294,69.87073016391246
FL,10020,22108934.82352941,45.32104364130752
GA,5329,10879742.94117647,48.980936671135666
HI,299,1440032.5294117648,20.76341984594874
IA,1875,3197747.705882353,58.63501978442143
ID,888,1927798.0588235294,46.062915974815155
IL,7864,12608677.94117647,62.369742781028144
IN,5873,6824541.94117647,86.05705775745535
KS,2210,2936088.3529411764,75.27021446020758
KY,4232,4510925.05882353,93.81667717405452
LA,2145,4598618.294117647,46.644445414045144
MA,3244,6983323.235294118,46.45352779325232
MD,3386,6164318.647058823,54.929022879366556
ME,884,1384311.2352941176,63.85847181339831
MI,8334,10038436.88235294,83.02089356810866
MN,2898,5712267.647058823,50.73291692647043
MO,4699,6174526.529411765,76.1030012198792
MS,2296,2942174.1764705884,78.03752810971461
MT,596,1117405.3529411764,53.337850801523345
NC,6184,10653375.88235294,58.04732761043048
ND,467,777746.1176470588,60.04530133982933
NE,1118,1966775.294117647,56.84431787117641
NH,710,1396058.5882352942,50.8574644347473
NJ,5082,9262673.764705881,54.865367485620055
NM,2046,2114182.1764705884,96.77500939940703
NV,2312,3167588.6470588236,72.9892753639821
NY,6795,19721056.76470588,34.45555723038527
OH,12007,11765673.470588235,102.05110680672068
OK,3685,4009673.3529411764,91.90274807041273
OR,1793,4241371.94117647,42.27405718873734
PA,10830,12969727.764705881,83.50213818266366
PR,912,3232898.588235294,28.209978603066023
RI,624,1094362,57.01952370422219
SC,3433,5255822.647058823,65.31803355124852
SD,543,905606.3529411765,59.959826721232204
TN,5515,7027282.470588235,78.47983944123928
TX,14999,29882228.29411765,50.19371330802854
UT,1119,3368512.1764705884,33.21941383547112
VA,4687,8668268.11764706,54.07077788074065
VT,193,646657.0588235294,29.8458042584623
WA,2744,7771010.823529412,35.3107216334276
WI,3716,5892120.94117647,63.06727300913196
WV,1843,1776659.705882353,103.733989908028
WY,266,580797.8235294118,45.79906969753472
