state_name,total_excess_deaths,population,excess_death_rate
Alabama,83467.66138253456,5076013.8,1644.3545008198078
Alaska,4898.091921592951,733124,668.1123413764863
Arizona,113311.49253788195,7355304.6,1540.54112915843
Arkansas,52176.618280362614,3047415.4,1712.1596970456544
California,538495.6845856762,39095803,1377.37466240475
Colorado,47957.744802491914,5844200.4,820.6040436685215
Connecticut,29659.941713692948,3610627.6,821.4622220716683
Delaware,11154.898537271476,1018459,1095.2722237489654
District of Columbia,7053.239196613526,675892.8,1043.544064474947
Florida,185938.0307024277,22231165.4,836.3845410570681
Georgia,133773.67378230105,10918129,1225.2435722485147
Hawaii,1447.5980472220326,1439376.6,100.571181108685
Idaho,15194.902880903213,1932551,786.2614172098544
Illinois,138042.47635133157,12607448.4,1094.9279503006458
Indiana,89853.17307691157,6834323.2,1314.7340336042573
Iowa,36902.202962571304,3200192.2,1153.1245830350847
Kansas,41805.27936590068,2937737.6,1423.043343486521
Kentucky,64629.50051974678,4516205,1431.0577247876654
Louisiana,56706.9075586559,4595836.2,1233.8757320954105
Maine,6793.005828629485,1385767.6,490.1980554769418
Maryland,53941.1882610593,6171589.2,874.0242830980925
Massachusetts,37083.37351499357,6994548.2,530.1753945307513
Michigan,100571.72516333914,10041817.4,1001.5291172625698
Minnesota,43024.01421888747,5721650.4,751.9511191890972
Mississippi,51633.51210276261,2943234.4,1754.311926456235
Missouri,89202.87585387671,6180698.4,1443.2491294814952
Montana,14587.808843181985,1119461.6,1303.1093557101005
Nebraska,21386.932692304672,1970653.6,1085.2710335446407
Nevada,41314.58549896457,3171102,1302.8463133309672
New Hampshire,6775.909266409111,1396105.8,485.34353674407134
New Jersey,75703.36315711043,9275981.8,816.122377009304
New Mexico,35110.491238494404,2114723.2,1660.2877974050884
New York,115915.3845411208,19713122.4,588.0112860310795
North Carolina,122484.09882684621,10698936,1144.8250445357016
North Dakota,12089.3187926932,780129.8,1549.6547872793988
Ohio,166117.39192900658,11777345.2,1410.4824908164073
Oklahoma,70164.74561924537,4020841.8,1745.026268361152
Oregon,28816.855546480587,4238542.4,679.8765430889777
Pennsylvania,175262.04039201592,12968074.2,1351.488568688294
Puerto Rico,17668.389515886338,3229180.8,547.1477322015025
Rhode Island,11389.673819424212,1095282.2,1039.8848643230222
South Carolina,74488.78912978827,5285522.4,1409.2985232602225
South Dakota,16419.313558062753,908473,1807.352949186465
Tennessee,109743.31025393674,7052344,1556.1253145611834
Texas,392729.32399019384,30037628.2,1307.4578371344041
Utah,20415.33059845276,3377227.8,604.4996608891104
Vermont,4091.576811702718,646482.2,632.8986028853877
Virginia,84410.69780219278,8681668.2,972.2866142499295
Washington,34028.33167508267,7780112,437.37585879332676
West Virginia,28659.718480839925,1775810.4,1613.895181650019
Wisconsin,63798.89419363815,5899958.8,1081.3447408079892
Wyoming,6372.307952182225,581598.8,1095.6535591514673
