"state_name","term","estimate","std.error","statistic","p.value","r.squared"
"Alabama","(Intercept)",16.0146720870676,24.0900347078946,0.664784101860151,0.507039391775861,0.655700219040727
"Alabama","covid_deaths",2.51959371914166,0.136084910919926,18.5148647422359,1.54315999188031e-43,0.655700219040727
"Alaska","(Intercept)",10.3416896615123,4.74888553572053,2.17770876634599,0.0330628116960863,0.744636566970092
"Alaska","covid_deaths",2.90664216480412,0.211126168098707,13.7673230702751,6.14190125090145e-21,0.744636566970092
"Arizona","(Intercept)",66.6623073059961,32.2968912700464,2.06404717867759,0.0404165722418386,0.667221196858283
"Arizona","covid_deaths",2.46844178774962,0.128515907904439,19.2072859150254,7.8337466883223e-46,0.667221196858283
"Arkansas","(Intercept)",50.8103277801005,17.2687981588226,2.94231985994587,0.0037181362588095,0.521175774986716
"Arkansas","covid_deaths",2.24636909428163,0.166120190836588,13.5225530561266,1.15511191130221e-28,0.521175774986716
"California","(Intercept)",124.611062321754,122.045156405554,1.02102423391285,0.30859083003493,0.68345951430505
"California","covid_deaths",2.45348551252498,0.123428709535335,19.8777539015151,1.38344502361398e-47,0.68345951430505
"Colorado","(Intercept)",42.3753362444185,21.7287422706587,1.95019737988424,0.0527321027046654,0.499486850846232
"Colorado","covid_deaths",2.35189036574008,0.176960426257041,13.2904876840876,2.10838771643233e-28,0.499486850846232
"Connecticut","(Intercept)",-26.6033207587431,17.0437795405547,-1.56088153425372,0.120604372115664,0.671383960898689
"Connecticut","covid_deaths",2.14215073891945,0.120767079794639,17.737869811559,4.76070430663918e-39,0.671383960898689
"Delaware","(Intercept)",4.13496348363287,5.80680263162457,0.712089551849643,0.47801918325981,0.682111733008348
"Delaware","covid_deaths",2.43400050087425,0.163723696081558,14.866513272836,2.20175592283466e-27,0.682111733008348
"District of Columbia","(Intercept)",7.15076093124789,7.92820691702683,0.901939241254,0.369796665077891,0.475285873644974
"District of Columbia","covid_deaths",2.31130782663155,0.271516809279174,8.51257729776521,7.97634205800681e-13,0.475285873644974
"Florida","(Intercept)",66.0369770401372,84.7594215843793,0.779110756134601,0.43690995090687,0.631164141668388
"Florida","covid_deaths",2.25074008758406,0.126498358989965,17.7926425730361,6.28657998341425e-42,0.631164141668388
"Georgia","(Intercept)",55.0931914198588,42.7918023327061,1.28747069337041,0.199547323291023,0.629408456896329
"Georgia","covid_deaths",2.55864450137476,0.144737978563563,17.6777686600833,1.60878127588633e-41,0.629408456896329
"Hawaii","(Intercept)",-3.69429384310434,6.3793255251427,-0.579104143305448,0.56420923185988,0.577158711156919
"Hawaii","covid_deaths",2.7188311970555,0.265202704401713,10.2518984607984,4.79209998936894e-16,0.577158711156919
"Idaho","(Intercept)",14.2025848542425,10.2080731491309,1.39130907927043,0.166508131150773,0.558863606741038
"Idaho","covid_deaths",2.31086102517509,0.180067643508174,12.8332940896747,7.3309131112311e-25,0.558863606741038
"Illinois","(Intercept)",-30.4505150012039,52.7047052802246,-0.57775704919138,0.564134506281443,0.55159570963515
"Illinois","covid_deaths",2.53842558968911,0.168725205430773,15.0447325472696,7.07734629187406e-34,0.55159570963515
"Indiana","(Intercept)",-54.2473981538426,33.3943995007194,-1.6244459839044,0.105974034227577,0.568369007697865
"Indiana","covid_deaths",2.50884439552942,0.160309171699556,15.6500365445801,8.97472672662e-36,0.568369007697865
"Iowa","(Intercept)",-20.9962937693254,17.4589549720502,-1.20260885046889,0.230861117883753,0.492196874833558
"Iowa","covid_deaths",2.22829415841327,0.176737560625759,12.6079264109098,6.48855418413621e-26,0.492196874833558
"Kansas","(Intercept)",6.01552743843611,16.3372566942068,0.368209152309471,0.713210129217203,0.543939839436914
"Kansas","covid_deaths",2.43987434304367,0.177735651392684,13.7275460715143,9.87757860283461e-29,0.543939839436914
"Kentucky","(Intercept)",-4.65878792933783,26.143817970961,-0.178198453436011,0.858764234164223,0.520558654425952
"Kentucky","covid_deaths",2.4174077007098,0.171497290341126,14.0958944360073,4.97790915212403e-31,0.520558654425952
"Louisiana","(Intercept)",12.7403636782311,22.7038509304251,0.561154304495451,0.575422699723564,0.611655510307422
"Louisiana","covid_deaths",2.53947261105864,0.154288812717373,16.4592141603322,3.64246289362487e-37,0.611655510307422
"Maine","(Intercept)",24.3931257022509,13.6046242709218,1.79300252741182,0.0756477083441165,0.238157303089362
"Maine","covid_deaths",2.59564793401768,0.436724208581043,5.9434487097731,3.16262882607916e-08,0.238157303089362
"Maryland","(Intercept)",-92.5023874973549,24.6893672389601,-3.7466487740271,0.000241545751552613,0.5580984671823
"Maryland","covid_deaths",2.5996404511435,0.172899648249331,15.0355450544045,1.43319331690328e-33,0.5580984671823
"Massachusetts","(Intercept)",-80.0904986867901,27.1111991826262,-2.95414814178027,0.00356679054663991,0.659875743155826
"Massachusetts","covid_deaths",2.22535427625905,0.120772444574047,18.4260100398535,7.7108865573961e-43,0.659875743155826
"Michigan","(Intercept)",-75.6750252425481,47.8418708614324,-1.58177395406903,0.1154374305481,0.600688897529963
"Michigan","covid_deaths",2.65893298195581,0.160695082672446,16.5464489500009,3.97890731678811e-38,0.600688897529963
"Minnesota","(Intercept)",-31.5898220092168,23.1558252575776,-1.36422786308941,0.174218258009946,0.470812307692043
"Minnesota","covid_deaths",2.39305438368201,0.190161910060987,12.5842992580087,2.1791708319392e-26,0.470812307692043
"Mississippi","(Intercept)",8.75589129954351,16.7970397459065,0.521275857650891,0.60283364702827,0.63464097987315
"Mississippi","covid_deaths",2.48126541044306,0.142314797136972,17.4350486411821,4.12212006377327e-40,0.63464097987315
