state_name,total_excess_deaths,population,excess_death_rate
Alabama,41583.5048341471,5076013.8,819.2157561539154
Alaska,4348.942472655837,733124,593.2069435260389
Arizona,70906.70750595204,7355304.6,964.021360936596
Arkansas,29242.00246099802,3047415.4,959.5673258393989
California,214524.76870126184,39095803,548.71559666203
Colorado,34886.49583493635,5844200.4,596.942155421918
Connecticut,18284.67153682224,3610627.6,506.41255655449595
Delaware,9081.775131968061,1018459,891.7173034916536
District of Columbia,4053.2939525155452,675892.8,599.6947966475668
Florida,127311.44568473796,22231165.4,572.6710381307224
Georgia,76557.34885288529,10918129,701.1947637995969
Hawaii,4758.57678515869,1439376.6,330.59984337376954
Idaho,10106.991145090216,1932551,522.9870334645873
Illinois,87297.80859420981,12607448.4,692.4304254476251
Indiana,58337.818221359514,6834323.2,853.6005177712332
Iowa,20095.81643516353,3200192.2,627.9565469587586
Kansas,27180.38818190429,2937737.6,925.2149743361794
Kentucky,45350.158674419996,4516205,1004.1651934405102
Louisiana,31852.25405653754,4595836.2,693.0676523357716
Maine,11308.838728669156,1385767.6,816.0703662482191
Maryland,31605.277795560556,6171589.2,512.1092278073297
Massachusetts,29029.613144173338,6994548.2,415.03199798056056
Michigan,79010.344584672,10041817.4,786.8131976256808
Minnesota,29908.59508057665,5721650.4,522.726713267498
Mississippi,27440.641195083284,2943234.4,932.3294534435751
Missouri,47423.645052390035,6180698.4,767.2861864994096
Montana,7766.223746213436,1119461.6,693.746328253996
Nebraska,11436.36908283739,1970653.6,580.3338081759974
Nevada,25056.709408897485,3171102,790.157787699591
New Hampshire,8147.86882195654,1396105.8,583.6139941511983
New Jersey,46883.60725977169,9275981.8,505.43013419637896
New Mexico,23042.651317621312,2114723.2,1089.6296648952123
New York,66754.67210124427,19713122.4,338.63063773826246
North Carolina,78864.27972891695,10698936,737.1226421853253
North Dakota,4022.003632709305,780129.8,515.5556976171536
Ohio,108032.02983961433,11777345.2,917.286773929445
Oklahoma,41694.305296817794,4020841.8,1036.9546321573207
Oregon,29793.89774303223,4238542.4,702.9279155738121
Pennsylvania,106165.7197633996,12968074.2,818.6698975195532
Puerto Rico,16621.06317572298,3229180.8,514.7145423298373
Rhode Island,5713.11374204263,1095282.2,521.6111192204739
South Carolina,43679.46126968022,5285522.4,826.3981866708241
South Dakota,5689.425754964432,908473,626.2625036698319
Tennessee,65590.68546173273,7052344,930.0551059581429
Texas,188532.53607829972,30037628.2,627.6545365798879
Utah,13825.446529024117,3377227.8,409.37263778961307
Vermont,4490.761545551414,646482.2,694.6458147728453
Virginia,59860.983267856405,8681668.2,689.5101481516699
Washington,36644.44279418025,7780112,471.0014816519383
West Virginia,22867.469966513363,1775810.4,1287.7202412213242
Wisconsin,38627.228802100886,5899958.8,654.7033650828356
Wyoming,3172.325682495102,581598.8,545.4491450971187
