state,cum_death,population,death_rate
AK,646,732673,88.17030244051575
AL,5050,5039877,100.20085807649671
AR,2784,3025891,92.00595791454484
AZ,4849,7276316,66.6408660646404
CA,13558,39237836,34.553383626966585
CO,2982,5812069,51.3070302503291
CT,614,3605597,17.029080066352396
DC,81,670050,12.08865010073875
DE,382,1003384,38.071167170295716
FL,24312,21781128,111.61956350470003
GA,8910,10799566,82.50331541100819
HI,531,1441553,36.83527417999893
IA,1482,3193079,46.41288236213385
ID,1870,1900923,98.37326393546714
IL,3755,12671469,29.63350184576074
IN,4031,6805985,59.22728304573107
KS,1653,2934582,56.32829479632874
KY,4603,4509394,102.0757999855413
LA,3964,4624047,85.72577225101735
MA,1233,6984723,17.652811714938444
MD,1568,6165129,25.43336887192466
ME,534,1372247,38.91427709442979
MI,4758,10050811,47.33946345225276
MN,2002,5707390,35.07732956745553
MO,4388,6168187,71.13921805548372
MS,3043,2949965,103.15376623112478
MT,1229,1104271,111.29514403620126
NC,6870,10551162,65.11131191047963
ND,480,774948,61.939639820994444
NE,850,1963692,43.28581060573654
NH,347,1388992,24.982145325531032
NJ,1963,9267130,21.182394117704188
NM,1495,2115877,70.65628105981585
NV,2802,3143991,89.12239252593281
NY,3381,19835913,17.044841848217423
OH,8044,11780017,68.28513065813063
OK,3699,3986639,92.78492484521422
OR,2630,4246155,61.93838896601749
PA,6464,12964056,49.86093858280155
PR,684,3263584,20.958553541137597
RI,194,1095610,17.707030786502497
SC,4713,5190705,90.79691486994541
SD,403,895376,45.00902414181305
TN,7188,6975218,103.05054264970643
TX,23776,29527941,80.52034511989847
UT,1437,3337975,43.050052801473946
VA,3545,8642274,41.01929654162782
VT,80,645570,12.39214957324535
WA,3506,7738692,45.30481378506859
WI,2552,5895908,43.284257488414
WV,2017,1782959,113.12654974118867
WY,636,578803,109.88194601617477
